customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
CUST-00026,Female,0,Yes,No,67,Yes,No,Fiber optic,Month-to-month,No,Electronic check,96.51,6572.01,Yes
CUST-00027,Female,0,Yes,No,20,Yes,No,No,One year,Yes,Bank transfer (automatic),37.57,709.37,No
CUST-00028,Female,0,Yes,No,12,Yes,No,DSL,One year,Yes,Bank transfer (automatic),100.03,1237.86,No
CUST-00029,Female,0,No,No,18,Yes,Yes,No,One year,Yes,Bank transfer (automatic),82.87,1484.4,No
CUST-00030,Female,0,No,No,33,Yes,No phone service,DSL,Month-to-month,Yes,Mailed check,59.9,1960.67,No
CUST-00031,Male,1,No,Yes,67,Yes,No,Fiber optic,Month-to-month,Yes,Bank transfer (automatic),63.8,4211.03,Yes
CUST-00032,Male,0,No,No,51,Yes,No,DSL,One year,Yes,Credit card (automatic),43.66,2221.74,No
CUST-00033,Female,0,No,Yes,26,Yes,No,No,One year,Yes,Mailed check,93.21,2365.55,No
CUST-00034,Female,0,Yes,Yes,28,Yes,No,No,Month-to-month,Yes,Bank transfer (automatic),69.29,1856.04,No
CUST-00035,Female,0,Yes,Yes,27,Yes,Yes,Fiber optic,One year,No,Mailed check,50.09,1358.41,No
CUST-00036,Male,0,No,No,34,Yes,Yes,Fiber optic,Month-to-month,Yes,Credit card (automatic),77.61,2606.97,Yes
CUST-00037,Female,0,Yes,No,7,Yes,Yes,Fiber optic,One year,Yes,Bank transfer (automatic),117.57,907.21,Yes
CUST-00038,Male,0,No,No,15,Yes,No,No,Two year,Yes,Credit card (automatic),61.53,972.95,No
CUST-00039,Male,0,No,Yes,35,Yes,No,Fiber optic,Month-to-month,Yes,Credit card (automatic),110.07,3937.32,Yes
CUST-00040,Male,0,Yes,No,29,Yes,Yes,Fiber optic,Month-to-month,No,Credit card (automatic),52.5,1488.46,Yes
CUST-00041,Male,0,Yes,No,17,Yes,No phone service,DSL,One year,Yes,Bank transfer (automatic),23.47,405.8,No
CUST-00042,Male,0,Yes,No,1,Yes,No phone service,No,One year,Yes,Electronic check,38.42,0.0,No
CUST-00043,Female,0,No,No,48,Yes,No,Fiber optic,One year,No,Bank transfer (automatic),59.87,2859.67,No
CUST-00044,Female,0,Yes,No,3,Yes,No,Fiber optic,Two year,Yes,Credit card (automatic),39.96,124.8,No
CUST-00045,Female,0,No,No,6,No,No phone service,DSL,Two year,No,Bank transfer (automatic),18.02,115.82,No
CUST-00046,Female,0,No,No,38,Yes,Yes,No,Two year,Yes,Credit card (automatic),109.5,4158.88,No
CUST-00047,Female,0,No,Yes,12,Yes,No,DSL,Month-to-month,Yes,Electronic check,102.39,1232.01,Yes
CUST-00048,Male,0,Yes,Yes,30,Yes,Yes,Fiber optic,Month-to-month,Yes,Mailed check,92.23,2631.24,Yes
CUST-00049,Female,0,Yes,No,70,Yes,No,No,Month-to-month,Yes,Electronic check,34.78,2447.41,No
CUST-00050,Female,0,No,Yes,62,Yes,Yes,Fiber optic,Month-to-month,No,Electronic check,30.04,1886.65,Yes
CUST-00051,Male,0,Yes,No,55,Yes,No,DSL,One year,No,Mailed check,24.76,1428.7,No
CUST-00052,Female,0,Yes,No,41,Yes,No phone service,Fiber optic,Month-to-month,Yes,Bank transfer (automatic),90.4,3724.84,Yes
CUST-00053,Male,0,Yes,No,60,Yes,Yes,No,Two year,Yes,Mailed check,110.88,6646.26,No
CUST-00054,Female,0,No,No,41,Yes,No,Fiber optic,One year,No,Bank transfer (automatic),61.05,2558.3,No
CUST-00055,Male,0,No,No,55,Yes,No phone service,No,One year,No,Bank transfer (automatic),29.91,1527.18,No
CUST-00056,Female,1,Yes,No,35,Yes,No,DSL,Month-to-month,Yes,Credit card (automatic),69.24,2397.65,No
CUST-00057,Female,0,No,No,67,Yes,No,Fiber optic,Month-to-month,Yes,Credit card (automatic),52.88,3504.67,Yes
CUST-00058,Male,0,Yes,No,6,Yes,No,Fiber optic,Month-to-month,Yes,Mailed check,55.48,331.15,Yes
CUST-00059,Male,0,Yes,No,53,Yes,Yes,No,Month-to-month,No,Electronic check,80.13,4136.96,Yes
CUST-00060,Male,0,Yes,No,0,Yes,Yes,DSL,Month-to-month,Yes,Mailed check,89.87,65.98,Yes
CUST-00061,Male,0,Yes,No,43,Yes,Yes,No,One year,Yes,Bank transfer (automatic),29.06,1237.09,No
CUST-00062,Male,0,No,No,44,Yes,No,Fiber optic,Two year,No,Credit card (automatic),21.56,964.58,No
CUST-00063,Male,0,No,No,46,Yes,Yes,Fiber optic,Two year,Yes,Mailed check,117.43,5412.93,No
CUST-00064,Male,1,No,No,12,Yes,No,DSL,One year,Yes,Mailed check,41.27,558.36,No
CUST-00065,Male,0,Yes,No,21,Yes,No,No,Month-to-month,Yes,Credit card (automatic),23.38,397.88,No
CUST-00066,Female,0,Yes,No,20,No,No phone service,DSL,Two year,Yes,Credit card (automatic),36.99,745.42,No
CUST-00067,Female,0,Yes,Yes,8,Yes,No,DSL,Two year,Yes,Credit card (automatic),21.9,232.51,No
CUST-00068,Male,0,No,Yes,25,Yes,No phone service,DSL,Month-to-month,Yes,Bank transfer (automatic),57.18,1424.6,No
CUST-00069,Female,0,Yes,No,8,Yes,Yes,No,One year,Yes,Credit card (automatic),98.24,738.36,No
CUST-00070,Female,0,No,Yes,14,Yes,No,Fiber optic,Month-to-month,Yes,Electronic check,52.12,699.49,Yes
CUST-00071,Female,0,No,Yes,9,Yes,No,No,Two year,No,Mailed check,62.42,542.13,No
CUST-00072,Female,0,No,Yes,41,No,No phone service,DSL,Two year,No,Credit card (automatic),85.56,3471.91,No
CUST-00073,Male,0,No,Yes,71,Yes,No phone service,Fiber optic,Month-to-month,Yes,Credit card (automatic),68.89,4883.55,Yes
CUST-00074,Female,0,No,Yes,23,Yes,Yes,Fiber optic,Two year,Yes,Bank transfer (automatic),104.14,2470.63,No
CUST-00075,Male,1,No,No,48,Yes,Yes,No,One year,Yes,Bank transfer (automatic),104.6,4990.93,No
CUST-00076,Female,0,Yes,No,25,Yes,No,No,Two year,Yes,Mailed check,18.99,450.37,No
CUST-00077,Female,0,Yes,No,36,Yes,No,DSL,Month-to-month,Yes,Electronic check,95.8,3471.79,Yes
CUST-00078,Female,0,No,No,67,Yes,No,Fiber optic,Two year,No,Mailed check,64.07,4283.95,No
CUST-00079,Male,0,No,Yes,49,Yes,No,DSL,Month-to-month,Yes,Credit card (automatic),116.88,5660.66,Yes
CUST-00080,Female,0,Yes,No,23,Yes,Yes,Fiber optic,Month-to-month,Yes,Electronic check,66.32,1522.3,No
CUST-00081,Male,0,No,No,18,Yes,No,DSL,Month-to-month,Yes,Electronic check,116.69,2095.48,Yes
CUST-00082,Female,0,No,Yes,59,No,No phone service,DSL,Two year,No,Electronic check,93.46,5562.92,No
CUST-00083,Male,0,Yes,No,38,Yes,No,Fiber optic,Two year,Yes,Electronic check,42.86,1580.07,No
CUST-00084,Female,0,No,No,17,Yes,No,Fiber optic,Two year,No,Mailed check,71.84,1270.4,No
CUST-00085,Male,0,No,No,18,Yes,No phone service,DSL,Two year,Yes,Bank transfer (automatic),117.21,2104.89,No
CUST-00086,Male,0,No,No,35,Yes,Yes,Fiber optic,Month-to-month,No,Bank transfer (automatic),103.75,3575.85,Yes
CUST-00087,Female,1,Yes,No,54,Yes,No,Fiber optic,Month-to-month,No,Credit card (automatic),27.74,1432.52,No
CUST-00088,Male,0,Yes,Yes,68,Yes,No,DSL,Month-to-month,Yes,Bank transfer (automatic),88.64,6124.24,Yes
CUST-00089,Female,0,Yes,No,46,Yes,No,No,Month-to-month,Yes,Bank transfer (automatic),52.56,2409.76,No
CUST-00090,Female,0,No,Yes,48,No,No phone service,DSL,Month-to-month,Yes,Bank transfer (automatic),18.7,944.43,No
CUST-00091,Female,0,No,No,32,Yes,Yes,Fiber optic,Month-to-month,Yes,Bank transfer (automatic),58.35,1781.79,Yes
CUST-00092,Female,0,Yes,No,20,No,No phone service,Fiber optic,Month-to-month,No,Credit card (automatic),41.48,961.48,No
CUST-00093,Female,0,No,No,21,Yes,Yes,DSL,Month-to-month,No,Mailed check,99.89,2142.35,Yes
CUST-00094,Female,0,No,No,47,Yes,No,DSL,Month-to-month,No,Electronic check,51.73,2418.54,No
CUST-00095,Female,0,No,Yes,36,Yes,Yes,Fiber optic,Month-to-month,No,Bank transfer (automatic),100.75,3611.69,Yes
CUST-00096,Female,0,No,Yes,14,Yes,Yes,No,Two year,Yes,Mailed check,18.06,289.57,No
CUST-00097,Female,0,No,Yes,34,No,No phone service,Fiber optic,One year,Yes,Bank transfer (automatic),48.78,1692.38,No
CUST-00098,Female,0,Yes,Yes,70,Yes,Yes,Fiber optic,Two year,No,Bank transfer (automatic),42.12,2957.53,No
CUST-00099,Female,0,No,No,31,Yes,No phone service,Fiber optic,Month-to-month,Yes,Electronic check,41.36,1282.7,Yes
CUST-00100,Male,0,Yes,No,10,Yes,No,DSL,Month-to-month,No,Electronic check,24.82,276.25,Yes
CUST-00101,Male,0,No,Yes,9,Yes,No,Fiber optic,Two year,Yes,Electronic check,36.71,243.3,No
CUST-00102,Female,1,Yes,No,56,Yes,Yes,Fiber optic,Month-to-month,Yes,Bank transfer (automatic),73.55,4100.24,No
CUST-00103,Female,0,No,No,24,No,No phone service,DSL,Month-to-month,No,Bank transfer (automatic),47.14,1049.02,No
CUST-00104,Female,0,Yes,No,1,Yes,No,DSL,Month-to-month,Yes,Bank transfer (automatic),59.74,89.97,Yes
CUST-00105,Female,0,No,No,63,Yes,No,DSL,Month-to-month,No,Electronic check,55.69,3474.68,No
CUST-00106,Female,0,Yes,Yes,34,Yes,No,Fiber optic,Month-to-month,No,Credit card (automatic),105.59,3511.48,Yes
CUST-00107,Female,0,No,No,6,Yes,Yes,No,Month-to-month,No,Mailed check,108.53,611.49,Yes
CUST-00108,Female,0,Yes,No,17,Yes,No,DSL,One year,No,Credit card (automatic),67.3,1151.57,No
CUST-00109,Female,1,No,No,66,Yes,No,Fiber optic,Month-to-month,Yes,Bank transfer (automatic),51.02,3357.06,No
CUST-00110,Male,0,Yes,Yes,41,Yes,No,DSL,Month-to-month,No,Bank transfer (automatic),28.68,1117.22,No
CUST-00111,Female,0,Yes,No,38,Yes,No,No,Two year,Yes,Credit card (automatic),113.34,4221.68,No
CUST-00112,Male,0,No,Yes,40,Yes,No,DSL,Month-to-month,Yes,Bank transfer (automatic),24.02,964.5,No
CUST-00113,Female,0,No,Yes,23,Yes,No,Fiber optic,Month-to-month,No,Mailed check,47.77,1069.67,No
CUST-00114,Female,0,Yes,No,59,Yes,Yes,Fiber optic,Two year,Yes,Bank transfer (automatic),47.81,2807.89,No
CUST-00115,Male,1,No,No,45,Yes,No,Fiber optic,Month-to-month,Yes,Mailed check,50.04,2243.82,Yes
CUST-00116,Female,0,Yes,No,18,Yes,Yes,Fiber optic,Month-to-month,Yes,Credit card (automatic),34.43,641.24,Yes
CUST-00117,Male,1,Yes,Yes,67,Yes,Yes,Fiber optic,Month-to-month,Yes,Credit card (automatic),96.32,6495.79,Yes
CUST-00118,Female,1,Yes,No,41,Yes,Yes,Fiber optic,Month-to-month,No,Bank transfer (automatic),30.25,1247.58,Yes
CUST-00119,Female,0,No,Yes,31,Yes,Yes,DSL,One year,Yes,Mailed check,81.49,2510.17,No
CUST-00120,Male,0,Yes,Yes,38,Yes,Yes,DSL,Two year,No,Bank transfer (automatic),30.38,1155.68,No
CUST-00121,Female,0,Yes,No,35,Yes,Yes,Fiber optic,Month-to-month,No,Electronic check,25.05,859.79,Yes
CUST-00122,Male,0,No,No,35,Yes,No,DSL,One year,No,Electronic check,108.94,3730.77,No
CUST-00123,Female,0,No,No,2,No,No phone service,DSL,Month-to-month,Yes,Electronic check,37.01,128.62,Yes
CUST-00124,Male,0,No,No,7,Yes,Yes,Fiber optic,Month-to-month,No,Electronic check,100.13,746.08,Yes
CUST-00125,Male,0,No,No,69,Yes,No phone service,No,One year,Yes,Bank transfer (automatic),72.46,5099.16,No
CUST-00126,Female,0,Yes,No,40,Yes,No,Fiber optic,Month-to-month,No,Electronic check,25.79,1145.62,No
CUST-00127,Female,1,Yes,Yes,67,Yes,Yes,DSL,Month-to-month,Yes,Mailed check,113.54,7548.38,Yes
CUST-00128,Male,0,Yes,No,12,Yes,Yes,DSL,Month-to-month,No,Credit card (automatic),42.7,495.63,No
CUST-00129,Female,0,Yes,No,48,Yes,No,No,Month-to-month,No,Credit card (automatic),103.96,5115.66,Yes
CUST-00130,Female,0,No,Yes,59,Yes,No,DSL,Month-to-month,Yes,Electronic check,34.88,2055.89,No
CUST-00131,Female,0,Yes,No,1,Yes,No,DSL,Two year,Yes,Electronic check,103.39,115.6,Yes
CUST-00132,Male,0,Yes,No,59,Yes,Yes,Fiber optic,Month-to-month,No,Electronic check,19.32,1063.82,Yes
CUST-00133,Male,0,No,Yes,4,Yes,Yes,Fiber optic,Month-to-month,Yes,Bank transfer (automatic),69.18,284.23,Yes
CUST-00134,Male,1,Yes,Yes,43,Yes,Yes,Fiber optic,Month-to-month,No,Credit card (automatic),94.94,4179.02,Yes
CUST-00135,Male,0,Yes,No,26,Yes,Yes,DSL,One year,Yes,Electronic check,111.48,2962.81,No
CUST-00136,Male,0,Yes,Yes,31,Yes,Yes,DSL,One year,Yes,Mailed check,108.92,3346.02,No
CUST-00137,Male,0,Yes,No,20,Yes,Yes,No,One year,No,Electronic check,99.96,1979.38,No
CUST-00138,Male,0,Yes,No,7,Yes,No,DSL,One year,No,Credit card (automatic),106.82,691.19,Yes
CUST-00139,Male,0,Yes,No,71,Yes,No phone service,Fiber optic,Two year,No,Electronic check,37.92,2649.76,No
CUST-00140,Male,0,No,No,49,Yes,Yes,Fiber optic,Month-to-month,Yes,Credit card (automatic),46.42,2179.07,Yes
CUST-00141,Female,1,No,No,66,Yes,No phone service,Fiber optic,Month-to-month,No,Electronic check,46.9,3091.16,Yes
CUST-00142,Male,0,Yes,No,43,Yes,Yes,DSL,Two year,No,Mailed check,55.71,2471.04,No
CUST-00143,Female,0,Yes,No,57,Yes,No,DSL,Two year,No,Electronic check,57.33,3285.58,No
CUST-00144,Female,0,No,No,2,Yes,Yes,Fiber optic,Two year,No,Mailed check,72.46,213.23,No
CUST-00145,Female,0,Yes,Yes,69,Yes,No,No,Month-to-month,Yes,Mailed check,33.99,2398.97,No
CUST-00146,Male,1,Yes,No,1,Yes,No phone service,No,Month-to-month,Yes,Electronic check,87.12,59.78,Yes
CUST-00147,Male,1,Yes,No,43,Yes,No,DSL,Month-to-month,Yes,Mailed check,34.76,1456.7,No
CUST-00148,Male,0,No,No,1,No,No phone service,DSL,One year,No,Bank transfer (automatic),49.03,12.97,No
CUST-00149,Male,0,Yes,No,34,Yes,No,No,Month-to-month,Yes,Electronic check,68.33,2237.37,No
CUST-00150,Female,0,No,No,29,Yes,Yes,Fiber optic,Month-to-month,No,Electronic check,97.64,2833.18,Yes
CUST-00151,Male,0,Yes,No,7,Yes,No,No,Two year,Yes,Mailed check,91.95,498.43,No
CUST-00152,Male,1,No,No,21,Yes,No,DSL,Month-to-month,No,Mailed check,82.55,1763.12,Yes
CUST-00153,Male,0,No,No,43,No,No phone service,Fiber optic,Two year,No,Electronic check,33.58,1447.53,No
CUST-00154,Male,0,Yes,No,57,Yes,No,Fiber optic,Month-to-month,Yes,Bank transfer (automatic),72.7,4167.47,Yes
CUST-00155,Male,0,No,No,35,Yes,No,Fiber optic,Month-to-month,Yes,Mailed check,26.74,988.75,No
CUST-00156,Female,1,Yes,No,68,Yes,Yes,Fiber optic,Month-to-month,Yes,Mailed check,55.74,3800.26,No
CUST-00157,Male,0,No,Yes,30,Yes,No,DSL,One year,No,Credit card (automatic),59.35,1862.08,No
CUST-00158,Female,0,Yes,No,46,Yes,Yes,Fiber optic,Month-to-month,No,Bank transfer (automatic),21.98,1042.18,Yes
CUST-00159,Male,1,Yes,No,54,Yes,No,DSL,Month-to-month,Yes,Bank transfer (automatic),45.4,2413.74,No
CUST-00160,Female,0,No,Yes,61,Yes,No,Fiber optic,Two year,No,Electronic check,113.56,6915.27,No
CUST-00161,Male,0,Yes,No,29,No,No phone service,No,Month-to-month,Yes,Bank transfer (automatic),113.36,3174.38,Yes
CUST-00162,Male,1,Yes,Yes,54,Yes,No,Fiber optic,One year,Yes,Electronic check,53.23,2829.31,No
CUST-00163,Female,1,No,No,15,Yes,No,No,One year,No,Credit card (automatic),22.31,315.6,No
CUST-00164,Female,0,Yes,No,11,Yes,Yes,DSL,Month-to-month,Yes,Bank transfer (automatic),35.91,422.32,Yes
CUST-00165,Female,0,Yes,Yes,16,Yes,No,Fiber optic,One year,Yes,Mailed check,57.22,878.0,No
CUST-00166,Male,0,No,No,15,Yes,Yes,No,Month-to-month,Yes,Credit card (automatic),112.78,1629.39,Yes
CUST-00167,Female,0,No,No,11,Yes,No,DSL,One year,Yes,Electronic check,32.12,258.94,No
CUST-00168,Male,0,Yes,No,7,Yes,Yes,DSL,Month-to-month,Yes,Credit card (automatic),94.35,630.63,Yes
CUST-00169,Male,0,Yes,Yes,2,Yes,Yes,Fiber optic,One year,Yes,Electronic check,28.87,155.28,No
CUST-00170,Female,0,No,Yes,15,No,No phone service,DSL,Month-to-month,No,Credit card (automatic),116.13,1755.51,Yes
CUST-00171,Female,0,No,No,29,Yes,Yes,Fiber optic,One year,Yes,Electronic check,56.16,1675.62,No
CUST-00172,Male,0,Yes,No,22,Yes,No,No,Month-to-month,Yes,Bank transfer (automatic),95.52,2056.44,Yes
CUST-00173,Male,0,No,No,4,Yes,Yes,Fiber optic,Month-to-month,Yes,Mailed check,52.26,130.37,Yes
CUST-00174,Female,0,Yes,Yes,64,Yes,Yes,DSL,Month-to-month,Yes,Electronic check,80.77,5108.23,Yes
CUST-00175,Female,0,Yes,No,29,Yes,No,Fiber optic,Month-to-month,No,Credit card (automatic),37.2,1073.94,Yes
CUST-00176,Female,0,Yes,No,20,Yes,Yes,Fiber optic,Two year,No,Electronic check,32.6,552.29,No
CUST-00177,Male,0,Yes,No,69,No,No phone service,DSL,Month-to-month,Yes,Electronic check,111.81,7664.56,Yes
CUST-00178,Male,1,Yes,Yes,21,Yes,No,Fiber optic,Two year,No,Electronic check,109.76,2275.64,No
CUST-00179,Male,0,No,No,71,No,No phone service,Fiber optic,Two year,Yes,Credit card (automatic),106.75,7513.2,No
CUST-00180,Male,0,No,No,31,Yes,No,Fiber optic,One year,Yes,Mailed check,80.54,2390.56,No
CUST-00181,Male,0,No,No,32,Yes,Yes,DSL,Month-to-month,Yes,Bank transfer (automatic),98.83,3177.04,Yes
CUST-00182,Male,0,No,No,15,Yes,Yes,Fiber optic,Month-to-month,Yes,Mailed check,24.9,375.79,Yes
CUST-00183,Female,0,Yes,No,37,Yes,No,DSL,Two year,Yes,Electronic check,51.48,1943.71,No
CUST-00184,Male,0,Yes,No,13,Yes,Yes,DSL,Month-to-month,No,Credit card (automatic),49.37,586.29,No
CUST-00185,Male,0,Yes,Yes,35,Yes,Yes,No,Month-to-month,Yes,Mailed check,81.56,2892.6,Yes
CUST-00186,Male,0,Yes,No,22,Yes,Yes,Fiber optic,One year,No,Electronic check,53.6,1255.67,No
CUST-00187,Female,0,No,No,65,Yes,Yes,DSL,Two year,Yes,Bank transfer (automatic),32.85,2148.36,No
CUST-00188,Male,0,Yes,Yes,1,Yes,No,DSL,Two year,Yes,Bank transfer (automatic),77.65,47.15,No
CUST-00189,Male,0,Yes,No,64,Yes,Yes,DSL,Month-to-month,No,Bank transfer (automatic),99.44,6371.41,Yes
CUST-00190,Female,0,No,No,66,Yes,No,DSL,One year,Yes,Electronic check,56.21,3676.97,No
CUST-00191,Male,0,No,Yes,51,Yes,No,DSL,Month-to-month,Yes,Credit card (automatic),31.23,1551.52,No
CUST-00192,Male,1,No,No,61,No,No phone service,DSL,Month-to-month,No,Mailed check,37.67,2332.03,No
CUST-00193,Male,0,No,No,22,Yes,No phone service,Fiber optic,Two year,No,Bank transfer (automatic),41.75,911.55,No
CUST-00194,Male,0,Yes,No,25,No,No phone service,Fiber optic,Month-to-month,No,Electronic check,47.99,1260.0,Yes
CUST-00195,Male,0,Yes,Yes,67,Yes,No phone service,Fiber optic,Month-to-month,No,Electronic check,82.28,5490.64,Yes
CUST-00196,Female,1,No,No,54,Yes,Yes,Fiber optic,Month-to-month,No,Mailed check,78.09,4199.8,No
CUST-00197,Female,1,Yes,No,5,Yes,No,DSL,Two year,No,Bank transfer (automatic),87.61,409.72,No
CUST-00198,Female,0,Yes,No,34,Yes,No,No,Two year,Yes,Electronic check,54.25,1788.49,No
CUST-00199,Male,0,Yes,No,21,Yes,Yes,No,One year,Yes,Mailed check,100.4,2149.12,No
CUST-00200,Male,0,No,Yes,42,Yes,No,No,One year,Yes,Credit card (automatic),38.41,1722.51,No
CUST-00201,Male,0,Yes,No,14,Yes,No,No,Month-to-month,Yes,Credit card (automatic),64.9,889.49,No
CUST-00202,Female,0,No,Yes,59,Yes,Yes,No,Month-to-month,No,Credit card (automatic),98.09,5753.29,Yes
CUST-00203,Male,0,Yes,Yes,11,Yes,Yes,Fiber optic,Month-to-month,No,Bank transfer (automatic),36.02,358.95,Yes
CUST-00204,Male,1,Yes,No,48,Yes,No,DSL,Month-to-month,No,Mailed check,28.99,1357.53,No
CUST-00205,Female,0,Yes,No,41,Yes,No,Fiber optic,Month-to-month,Yes,Mailed check,106.37,4443.66,Yes
CUST-00206,Male,0,No,No,37,Yes,No phone service,Fiber optic,Two year,No,Electronic check,52.29,1898.81,No
CUST-00207,Female,0,Yes,No,44,Yes,No,Fiber optic,Month-to-month,Yes,Electronic check,86.39,3771.9,Yes
CUST-00208,Female,0,No,No,34,Yes,No phone service,Fiber optic,Month-to-month,No,Electronic check,20.53,636.0,Yes
CUST-00209,Female,0,No,Yes,29,Yes,No,DSL,Month-to-month,Yes,Mailed check,87.0,2537.68,Yes
CUST-00210,Male,0,No,No,29,Yes,Yes,Fiber optic,Month-to-month,Yes,Electronic check,49.61,1435.33,No
CUST-00211,Male,0,Yes,No,5,Yes,Yes,No,Two year,Yes,Mailed check,23.57,60.99,No
CUST-00212,Male,0,Yes,No,66,Yes,No,Fiber optic,Month-to-month,Yes,Mailed check,78.98,5168.04,Yes
CUST-00213,Male,0,Yes,Yes,6,Yes,No,Fiber optic,Month-to-month,No,Credit card (automatic),42.08,329.13,Yes
CUST-00214,Male,0,Yes,No,51,Yes,Yes,DSL,One year,No,Electronic check,56.68,2892.32,No
CUST-00215,Male,1,No,No,13,Yes,Yes,Fiber optic,Month-to-month,No,Credit card (automatic),26.06,343.86,No
CUST-00216,Male,0,No,Yes,14,Yes,No phone service,No,Month-to-month,Yes,Bank transfer (automatic),32.72,463.36,No
CUST-00217,Female,0,No,Yes,20,Yes,No,Fiber optic,Month-to-month,Yes,Bank transfer (automatic),47.8,1025.73,Yes
CUST-00218,Male,1,Yes,No,34,Yes,No,No,One year,No,Bank transfer (automatic),26.98,865.06,No
CUST-00219,Female,0,No,No,65,Yes,No,Fiber optic,Two year,No,Mailed check,109.08,7070.38,No
CUST-00220,Male,1,Yes,Yes,1,Yes,Yes,Fiber optic,One year,Yes,Mailed check,18.6,10.15,No
CUST-00221,Male,0,No,No,34,Yes,Yes,DSL,Month-to-month,Yes,Mailed check,66.39,2171.2,No
CUST-00222,Male,1,Yes,Yes,19,Yes,Yes,Fiber optic,Two year,No,Electronic check,30.32,530.27,No
CUST-00223,Female,0,Yes,No,9,Yes,Yes,Fiber optic,Month-to-month,Yes,Credit card (automatic),48.77,491.26,Yes
CUST-00224,Female,1,No,No,24,Yes,No,Fiber optic,Month-to-month,Yes,Mailed check,110.61,2692.65,Yes
CUST-00225,Female,0,No,No,65,Yes,Yes,Fiber optic,Month-to-month,Yes,Credit card (automatic),34.17,2267.9,Yes
CUST-00226,Female,1,No,No,24,Yes,No,No,Month-to-month,Yes,Credit card (automatic),114.58,2720.47,Yes
CUST-00227,Male,0,No,No,53,Yes,No,DSL,Month-to-month,No,Credit card (automatic),38.58,2021.46,No
CUST-00228,Female,0,Yes,Yes,32,Yes,Yes,No,One year,No,Electronic check,92.16,2859.72,No
CUST-00229,Male,1,No,No,35,Yes,No,DSL,Two year,Yes,Electronic check,72.67,2590.05,No
CUST-00230,Male,0,No,No,13,Yes,No,Fiber optic,Month-to-month,Yes,Bank transfer (automatic),106.45,1438.68,Yes
CUST-00231,Female,0,No,No,64,Yes,No,DSL,Month-to-month,Yes,Bank transfer (automatic),73.4,4751.8,No
